Year,"Production 
",Temperature,Humidity,Rainfall,Wind speed
1990,99314,16.94,52.27691667,175.84,3.09725
1991,81238,16.94,44.96891667,30.61,2.92625
1992,66378,27.49,0.459513011,69.88,3.039586777
1993,66379,20.94,47.95556667,148.17,3.028416667
1994,55964,20.8,48.03341667,165.22,3.04125
1995,49904,20.3,41.492,107.96,3.120166667
1996,7366,20.3,51.45371901,166.83,3.036446281
1997,44560,24.29483333,49.03241667,200.02,2.563166667
1998,41712,17.72,56.86966667,353.46,2.825833333
1999,33892,17.22,50.802,16.56,3.285916667
2000,37185,17.3,59.63033058,264.9,3.114876033
2001,40070,18.08,51.56041667,110.01,2.756583333
2002,44034,23.48958333,56.8185,196.42,2.758333333
2003,44034,62.16,62.041,265.55,2.779083333
2004,42038,24.01512397,60.84264463,197.24,3.231818182
2005,20665,24.41483333,62.57341667,231.16,3.00625
2006,15892,24.61958333,59.88525,128.96,2.742416667
2007,1239,23.55116667,58.07958333,236.9,2.851666667
2008,804,23.41272727,63.56082645,128.8,2.60214876
2009,1492,24.873,57.96808333,102.22,2.811083333
2010,1353,24.60183333,58.75183333,121.62,3.647166667
2011,912,23.65075,60.00066667,136.54,2.936583333
2012,927,24.22173554,56.01760331,248.05,3.096528926
2013,752,24.00766667,53.64358333,95.71,3.264083333
2014,947,24.47466667,55.86933333,76.94,2.858166667
2015,1413,24.22691667,58.39316667,258.96,2.702083333
2016,1431,25.68358333,60.05289256,196.13,3.02107438
2017,1407,23.10316667,69.69975,741.8,3.02025
2018,2616,22.78083333,70.11541667,408.83,2.374
2019,1098,24.00308333,60.64125,264.76,2.645083333
2020,1502,22.44561983,69.20876033,429.62,2.287520661
