Year,"Production 
 ",Temperature,Humidity,Rainfall,Windspeed
1990,219175,16.94,76.97105691,625.42,4.226422764
1991,225907,31.07,77.66471545,586.08,4.990650407
1992,237074,27.49,72.01569106,465.7,4.168780488
1993,241664,29.14,83.73243902,940.28,4.755528455
1994,219729,32.26,77.60585366,533.98,4.569674797
1995,210285,20.3,80.11788618,794.47,4.815853659
1996,170605,30.83,79.54707317,659.73,4.425609756
1997,220518,30.05,82.98813008,1066.19,4.240894309
1998,188794,28.88,87.46512195,1319.28,4.394878049
1999,101713,32.26,85.24349593,1253.67,4.486666667
2000,219284,28.2604878,101.9828252,1231.95,3.938617886
2001,355752,28.19130081,88.21813008,1378.35,4.161056911
2002,347742,28.58382114,86.3400813,1312.98,3.996260163
2003,336955,29.08804878,82.76512195,996.93,4.249918699
2004,364189,28.99715447,82.37341463,1008.49,3.985121951
2005,263614,29.13585366,82.3403252,1050.14,3.734634146
2006,281384,28.64471545,84.83065041,1096.17,3.823170732
2007,25042,28.55300813,85.98121951,1709.14,3.704552846
2008,9691,29.04688525,83.34393443,1050.84,4.043278689
2009,28872,28.93756098,84.05585366,1427.74,3.813089431
2010,28772,28.75284553,85.98764228,1190.28,4.022682927
2011,26151,28.42195122,85.99536585,1309.36,3.724065041
2012,23810,29.09268293,83.31195122,957.04,4.353089431
2013,27797,28.37121951,87.86869919,1310.49,4.650162602
2014,25676,29.3298374,83.23447154,1279.32,4.378780488
2015,15604,28.64878049,85.99894309,1642.54,4.062439024
2016,27419,28.65292683,86.49544715,1979.98,3.746666667
2017,27671,28.29699187,89.89585366,2954.81,3.611219512
2018,33169,28.25658537,89.84552846,2095.34,3.713821138
2019,12583,28.97390244,86.68512195,1977.42,4.04699187
2020,25167,28.49105691,88.38796748,1686.09,3.88097561
