Year,"Production 
 ", Temperature,Humidity,Rainfall,Wind speed
1990,48360,16.94,66.59216438,1071.29,3.347835616
1991,50230,25.22791781,66.61358904,1158.34,3.437589041
1992,61290,28.74666667,62.88199454,700.05,3.195136612
1993,57410,25.58175342,66.96542466,1283.67,3.298136986
1994,57660,26.55465753,61.37723288,812.71,4.136657534
1995,59920,20.30273973,65.67484932,1160.19,3.449589041
1996,69240,25.39434426,64.90016393,1040.08,3.204808743
1997,71440,27.44260274,69.68890411,1589.94,3.100794521
1998,84850,24.95024658,75.73536986,2014.33,3.253917808
1999,88080,24.46076712,73.20309589,1700.58,3.437780822
2000,82530,24.50677596,80.78534153,1866.34,3.145601093
2001,72300,23.40438356,74.02090411,1914.03,3.089287671
2002,75290,25.27780822,75.00191781,1861.74,3.028876712
2003,62080,38.19961644,75.72769863,1640.4,3.158986301
2004,47230,25.47218579,75.30997268,2056.92,3.240601093
2005,32143,25.65791781,76.61632877,1899.45,3.076356164
2006,20552,25.73816438,82.02591781,1697.72,2.976219178
2007,15429,25.13454795,76.4779726,2554.96,3.082328767
2008,15778,25.44396175,76.17822404,1604.25,2.99942623
2009,15732,25.83054795,74.97619178,1906.64,3.039287671
2010,7724,25.85509589,76.0450137,1827.05,3.386164384
2011,10104,25.48832877,75.05271233,1697.11,3.067013699
2012,4910,25.44153005,73.14674863,1507.93,3.418579235
2013,245699,25.48452055,74.88161644,1829.28,3.462794521
2014,257287,26.01087671,72.26852055,1686.89,3.150246575
2015,228222,25.83884932,73.93394521,2250.42,2.895589041
2016,216053,26.19251366,76.95224044,2912.71,2.99352459
2017,211793,25.23832877,81.62989041,4915.96,2.984465753
2018,201220,25.06520548,78.94526027,2797.82,2.763013699
2019,181355,25.66717808,77.42638356,3000.17,3.003753425
2020,148745,25.1118306,80.98592896,2923.73,2.806530055
