Year,Production,Humidity,Temperature,Windspeed,Rainfall
1990,141566.1,37.146167,24.87241667,10.799,68.91
1991,124420.38,34.6385,26.16908333,10.599,11.18
1992,141067.22,41.97391,25.3055,11.97033333,23.01
1993,141067.22,42.699167,24.67991667,11.352,65.55
1994,130933.97,39.91934,25.36508333,11.37633333,27.57
1995,97513.287,32.65625,25.06933333,12.315,21.65
1996,65825.324,37.27508,25.79841667,11.95266667,40.79
1997,117906.8,37.59375,24.17866667,10.971,107.82
1998,119712.098,56.114167,23.27216667,11.18066667,139.79
1999,88831.52,39.7125,24.52375,11.35266667,13.79
2000,94691.943,48.73125,23.46475,10.68533333,158.22
2001,89938.295,39.6328,23.87491667,9.559,54.07
2002,82771.535,52.1403,24.11508333,10.123,154.67
2003,107111.302,55.42134,23.15525,10.167,143.63
2004,113506.95,57.93308,24.2435,10.63433333,140.21
2005,115656.98,52.0914,24.33675,10.18533333,96.33
2006,159200.942,49.09447,23.99425,8.896333333,80.76
2007,67169,51.56684,23.76125,10.12966667,88.01
2008,84331,54.358,23.32608333,9.315333333,73.58
2009,115356,44.76725,24.86708333,9.609,70.57
2010,85089,51.9865,24.48733333,11.37466667,48.9
2011,106330,49.64517,23.62916667,10.534,109.83
2012,121732,55.60208,24.12558333,11.25033333,98.51
2013,106267,44.39475,23.44216667,13.039,82.55
2014,102336,40.63258,23.8475,11.08033333,61.17
2015,111467,51.894,24.05925,11.30233333,194.75
2016,112737,51.8445,25.92966667,10.794,126.8
2017,103737,60.51491667,23.89233333,10.99366667,252.8
2018,567811,67.42408333,22.35816667,9.617333333,306.05
2019,572285,61.6945,24.4235,10.44466667,106.32
2020,134357,95.98066667,22.10416667,9.151333333,225.57
