YEAR,Wheat Production(M.Tons),RH2M,PRECTOTCORR,T2M,WS10M
1990,78540,58.11589041,718.14,26.78087671,3.094520548
1991,92290,54.00931507,599.94,27.37024658,3.043945205
1992,104670,48.2168306,323.55,27.64295082,3.108060109
1993,124400,53.96536986,525.25,27.15575342,3.24309589
1994,119220,49.37693151,384.99,27.56084932,3.257643836
1995,122480,54.32041096,583.26,27.01419178,3.268876712
1996,154100,51.7047541,500.74,27.37106557,3.109617486
1997,152540,60.37863014,1045.69,26.01967123,2.887890411
1998,183640,69.10435616,1515.65,25.64246575,2.894027397
1999,187070,66.82679452,1189.89,25.84112329,2.916657534
2000,227570,68.55412568,1392.39,25.24243169,2.72489071
2001,211810,66.78320548,1260.31,25.53224658,2.748821918
2002,205510,69.0789589,1309.82,25.63950685,2.756876712
2003,199100,69.56526027,1138.93,25.59641096,2.789616438
2004,194490,70.43819672,1487.78,25.53407104,2.954699454
2005,163076,69.26358904,1367.78,26.02150685,2.772739726
2006,127776,69.3369589,1122.71,25.70438356,2.648493151
2007,139314,69.55750685,1562.42,25.43512329,2.829342466
2008,179789,70.51893443,1172.28,25.50857923,2.57715847
2009,192638,66.2190137,1282.67,26.02679452,2.689369863
2010,222162,67.78860274,1052.11,26.13528767,2.919479452
2011,203447,69.23926027,1371.98,25.53106849,2.814328767
2012,240175,64.32147541,1015.35,25.58147541,3.047240437
2013,430922,68.12213699,1174.66,25.46145205,3.017260274
2014,473852,65.27284932,1183.47,25.93457534,2.805232877
2015,478266,67.88794521,1423.52,26.10835616,2.745863014
2016,472554,68.16948087,1570.55,26.38412568,2.782568306
2017,477515,74.2829589,2015,25.55621918,2.805643836
2018,407417,72.50994521,1468.85,25.05235616,2.612520548
2019,403614,70.98035616,1881.14,25.83191781,2.880794521
2020,412825,77.44863388,2079.51,24.79543716,2.629508197
