YEAR,Production,rainfall,Temperature,Humidity,ws
1990,663125.0164,470.35,31.60341667,65.691167,3.936083333
1991,644781.7358,309.58,32.86241667,59.297167,4.237833333
1992,695665.7422,219.46,32.79925,57.1945,3.852
1993,642677.0666,333.74,32.0985,60.946167,4.491583333
1994,553364.7038,274.06,32.48766667,64.090167,4.321833333
1995,523418.5271,361.24,32.12208333,59.6585,4.17875
1996,613746.9371,364.31,32.45758333,62.96408,4.5555
1997,653418.137,698.17,31.22866667,72.726167,3.734083333
1998,664658.1591,966.3,30.976,76.268167,3.61325
1999,726047.3678,870.08,30.5895,70.34367,3.64975
2000,773892.3044,822.83,29.85608333,67.77134,3.552333333
2001,730565.149,813.62,30.12483333,74.5089,3.858333333
2002,742812.1465,843.12,30.49133333,64.5875,3.615333333
2003,717655.9065,641.97,31.02383333,66.56067,3.65525
2004,729356.7786,885.33,30.66375,71.75475,3.753666667
2005,809961.9799,713.09,31.79541667,83.543,3.467666667
2006,147656,759.64,30.2645,77.93575,3.50925
2007,177145,1092.58,30.70875,73.304167,3.52875
2008,179016,822.82,30.32925,72.18525,3.343
2009,193581,857.15,31.1585,59.77917,3.460166667
2010,201370,679.4,30.7685,67.15067,3.633
2011,185350,1023,30.27925,66.90025,3.50375
2012,196898,580.85,32.06566667,67.19684,3.53125
2013,118453,733.2,30.54466667,61.6304,3.542583333
2014,605457,895.14,31.41866667,69.58657,3.583083333
2015,209258,1007.34,30.4965,73.71817,3.707416667
2016,207047,1027.31,30.68308333,96.806,3.61425
2017,272701,1234.41,29.81241667,84.80791667,3.424833333
2018,196177,945.62,29.72258333,80.35508333,3.307333333
2019,196312,1119.34,30.84175,74.27683333,3.732916667
2020,202992,1288.31,29.58766667,102.4724167,3.55275
